buildingID,O1_airHeatEl,O1_airHeatWater,O1_cavityInsulation,O1_centralCooling,O1_constructionYear,O1_exhaust,O1_exhaustSupply,O1_exhaustSupplyHeat,O1_extWallBrick,O1_extWallConcrete,O1_extWallWood,O1_exteriorInsulation,O1_facadeAsbest,O1_facadeBrick,O1_facadeConcrete,O1_facadeWood,O1_floorHeat,O1_individualCooling,O1_insulationOther,O1_intWallBrick,O1_intWallConcrete,O1_intWallGypsum,O1_intWallWood,O1_interiorInsulation,O1_natVentAut,O1_natVentman,O1_noCooling,O1_radiators,O1_renovationYear,O1rur_agr,O1rur_com,O1rur_ind,O1rur_nurb,O1suburb_com,O1suburb_indus,O1suburb_res,O1urb_com,O1urb_indus,O1urb_res,O2_constructionActivities,O2_emergencyGenerators,O2_garbageDumpsters,O2_heavyTraffic,O2_noOutdoorContSources,O2_powerPlants,O2_smokeStack,O3_deskWash,O3_envMat,O3_floorMope,O3_floorVacuum,O3_winWash,OO_buildingID,OO_buildingTypology,officeID,O2_windowOrientation,O2_floorArea,O2_ceilHeight,O2_officeType,O2_noWorkstations,O2_noOccupiedWorkstations,O2_noWinExt,O2_noOpWin,O2_viewGreenNature,O2_winArea,O2_viewRoadParking,O2_opWin,O2_winShades,O2_winShadePercentage,O2_crackWinPaint,O2_viewOtherBuildings,O2_paintWallboard,O2_paintDetachWidth,O2_paintDetachHeight,O2_fabric,O2_metal,O2_wallpaper,O2_otherWallCov,O2_otherWallCovComment,O2_woodPanels,O2_wallMoistureWidth,O2_wallMoistureHeight,O2_wallMouldWidth,O2_wallMouldHeight,O2_suspendedCeiling,O2_suspendedCeilingComment,O2_ceilingFabric,O2_ceilingMetal,O2_ceilingConcrete,O2_ceilingBoards,O2_ceilingWoodPanels,O2_ceilingMoistureWidth,O2_ceilingMoistureHeight,O2_ceilingMouldWidth,O2_ceilingMouldHeight,O2_otherCeiling,O2_otherCeilingComment,O2_floorCarpet,O2_floorPlastic,O2_floorWood,O2_floorConcrete,O2_floorDetachWidth,O2_floorDetachHeight,O2_floorDiscolorHeight,O2_floorDiscolorWidth,O2_floorScratchHeight,O2_floorScratchWidth,O2_lightLED,O2_lightIncan,O2_lightFlour,O2_desklight,O2_noSupplyDevices,O2_ventWallGrill,O2_ventLinCeilDif,O2_ventLowFloorGrill,O2_ventLuminaires,O2_ventSideWallDif,O2_ventPerfCeiling,O2_ventFloorReg,O2_ventFloorDif,O2_ventFancoil,O2_ventRoundDif,O2_ventOther,O2_ventNoSupply,O2_noReturnDevices,O2_ventReturnCeilGrill,O2_ventReturnCeilSlot,O2_ventReturnSlotsLum,O2_ventReturnFloorGrill,O2_ventReturnSideGrill,O2_ventReturnOther,O2_ventNoReturn,O2_noSpaceHeaters,O2_noSpaceHeatersInUse,O2_otherGreenPlants,O2_otherArt,O2_otherWallColor,O2_otherWaterEl,O2_otherLounge,O2_otherOther,O2_noHumidifiersInUse,O2_noDehumidifiersInUse,O2_noDeskfansInUse
101,True,False,True,False,,False,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,True,False,False,False,True,True,True,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,onceWeek,1,onceWeek,onceWeek,onceWeek,101,6,101b,0,144.0,6.0,shared,10.0,2.0,3,3.0,False,,False,40.0,No,0.0,little,True,False,,,False,False,False,True,Acoustic panels on oblique walls,False,,,,,False,,False,False,False,True,False,,,,,False,,True,False,False,False,,,,,,,True,False,False,0.5,6,False,False,True,False,False,False,False,False,False,False,False,False,2,False,False,False,False,False,True,False,4,0,False,False,False,False,False,False,0.0,0.0,0.0
101,True,False,True,False,,False,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,True,False,False,False,True,True,True,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,onceWeek,1,onceWeek,onceWeek,onceWeek,101,6,101c,0,84.0,2.5,shared,10.0,8.0,11,4.0,False,,True,50.0,Blinds,60.0,little,False,False,,,False,False,False,True,Plasterer original wall + bricks painted,False,,,,,False,,False,False,False,True,False,,,,,False,,False,False,True,False,,,,,,,True,False,False,<50%,4,False,False,False,False,False,False,False,False,False,True,False,False,4,False,True,False,False,False,False,False,,,False,False,False,False,False,False,,,
101,True,False,True,False,,False,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,True,False,False,False,True,True,True,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,onceWeek,1,onceWeek,onceWeek,onceWeek,101,6,101d,0,40.0,3.5,shared,2.0,1.0,4,4.0,False,,True,100.0,Internal blinds,100.0,little,False,False,,,False,False,True,False,,False,,,,,False,,False,False,False,False,False,,,,,True,Gammelt stuk loft,False,False,True,False,,,,,,,False,False,False,all,0,False,False,False,False,False,False,False,False,False,False,False,False,0,False,False,False,False,False,False,False,,,False,False,False,False,False,False,,,
102,False,False,False,False,1867.0,False,False,False,True,False,False,False,False,True,False,False,False,False,,False,False,True,False,True,False,True,True,True,,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,2-4,none,never,2-4,2-4,102,2,102a,East,27.36,3.5,shared,6.0,1.0,3,3.0,False,,True,100.0,Internal shading,50.0,little,False,False,,,False,False,True,False,,False,,,,,False,,False,False,False,False,False,,,,,True,Acoustic boards painted,True,False,False,False,,,,,,,False,False,True,none,0,False,False,False,False,False,False,False,False,False,False,False,True,0,False,False,False,False,False,False,True,0,0,False,False,False,False,False,True,0.0,0.0,0.0
102,False,False,False,False,1867.0,False,False,False,True,False,False,False,False,True,False,False,False,False,,False,False,True,False,True,False,True,True,True,,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,2-4,none,never,2-4,2-4,102,2,102b,Northeast,48.0,3.5,shared,8.0,6.0,5,5.0,False,,True,100.0,Internal shades,50.0,no,True,True,,,False,False,False,False,,False,,,,,False,,False,False,False,False,False,,,,,True,Stuk (stucco?) and acoustic boards,True,False,False,False,,,,,,,False,False,True,none,0,False,False,False,False,False,False,False,False,False,False,False,True,0,False,False,False,False,False,False,True,5,5,False,False,False,False,False,False,,,
103,False,False,False,False,1972.0,True,False,False,False,False,False,False,False,True,False,False,False,False,,True,False,True,False,True,False,True,True,True,,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,onceWeek,moreThan50%,never,onceWeek,onceWeek,103,5,103a,West,90.2,2.5,openNoPartitions,10.0,1.0,12,6.0,True,11.5,True,50.0,Sagdes. int + ext,100.0,no,True,True,,,False,False,False,False,,False,,,,,True,,False,False,False,False,False,,,,,False,,True,False,False,False,,,,,,,False,False,True,<50%,,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,False,False,False,True,12,12,True,True,True,False,False,False,,,
103,False,False,False,False,1972.0,True,False,False,False,False,False,False,False,True,False,False,False,False,,True,False,True,False,True,False,True,True,True,,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,onceWeek,moreThan50%,never,onceWeek,onceWeek,103,5,103b,East,44.0,2.5,shared,4.0,3.0,6,3.0,False,10.2,True,50.0,Film + curtains,100.0,no,False,True,,,False,False,False,False,,False,,,,,True,,False,False,False,False,False,,,,,False,,True,False,False,False,,,,,,,False,False,True,none,,False,False,False,False,False,False,False,False,False,False,False,True,,False,True,False,False,False,False,False,6,6,True,False,False,False,True,False,,,
103,False,False,False,False,1972.0,True,False,False,False,False,False,False,False,True,False,False,False,False,,True,False,True,False,True,False,True,True,True,,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,onceWeek,moreThan50%,never,onceWeek,onceWeek,103,5,103c,Northwest,36.77,2.5,,4.0,2.0,4,3.0,False,7.6,False,75.0,,0.0,little,True,False,,,False,False,True,False,,False,2.0,8.0,,,True,Acoustic suspended ceiling,False,False,False,False,False,,,,,False,,True,False,False,False,,,,,,,False,False,True,none,,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,False,False,False,True,Most likely,,True,False,False,False,False,False,,,0.0
103,False,False,False,False,1972.0,True,False,False,False,False,False,False,False,True,False,False,False,False,,True,False,True,False,True,False,True,True,True,,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,onceWeek,moreThan50%,never,onceWeek,onceWeek,103,5,103d,Northwest,14.0,2.5,single,1.0,1.0,2,1.0,False,3.4,True,50.0,Curtain,100.0,no,False,True,,,False,False,False,False,,False,,,,,True,,False,False,False,False,False,,,,,False,,True,False,False,False,,,,,,,False,False,True,none,,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,False,False,False,True,2,,True,False,True,False,False,False,,,
301,False,False,False,True,1988.0,False,True,False,False,True,False,False,False,True,True,False,False,False,,False,False,True,False,True,False,False,False,True,,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,onceWeek,moreThan50%,onceWeek,onceWeek,onceWeek,301,0,301a,North,12.9,2.5,single,1.0,1.0,4,1.0,False,3.34,True,25.0,,0.0,no,True,True,,,False,False,False,False,,False,,,,,True,Acoustic suspended,False,False,False,False,False,,,,,False,,True,False,False,False,,,,,,,False,False,True,none,1,False,True,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False,False,True,False,2,2,True,True,False,False,True,False,0.0,0.0,0.0
