building,sex,age,job,contacts,smoker,distToWindow,windowOrientation,officeInterior,personsInOffice,hoursatdesk,photocopier,outside,perfume,food,tobaccoSmoke,printer,carpet,cleaningProd,noiseTraffic,noiseOverhearing,noiseOfficeEquipment,noiseTelephones,noisePhoneTalk,noiseNeighborTalk,noisemechanical,lightTooDark,lightTooBright,lightTooLittleDaylight,lightTooMuchDaylight,lightFlicker,lightReflections,lightColor,lightNoTask,symptabilitywork,symptstayhome,performanceOverall,indoorClimate,officeID,month,s0_better,s1_better,s3_better,s7_better,SBS1,SBS2
103_E2021,Male,_50-60,Administrative,Glasses,former,0-2,north,shared,1,3-5,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,,False,_1-5,_0,2.0,2.0,103_E2021c,10,0,0,0,1,1,1
103_E2021,Female,_>60,Administrative,Glasses,former,0-2,west,withoutPartitions,>5,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,3.0,2.0,103_E2021a,10,0,0,0,0,0,0
103_E2021,Female,_50-60,Administrative,Glasses,former,0-2,---,withoutPartitions,>5,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,4.0,3.0,103_E2021a,10,0,0,0,0,0,0
103_E2021,Female,_50-60,Administrative,Contacts,former,0-2,east,shared,2-3,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,4.0,3.0,103_E2021c,11,0,0,0,0,0,0
103,Female,_40-49,Administrative,Glasses,never,0-2,east,withoutPartitions,4-5,>5,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,,False,_0,_0,5.0,3.0,103b,3,0,0,0,0,0,0
103,Female,_50-60,Administrative,Contacts,never,0-2,west,withoutPartitions,>5,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,3.0,2.0,103a,3,0,0,0,0,0,0
103,Female,_40-49,Administrative,None,former,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,,,,103a,3,0,0,0,0,0,0
103,Female,_>60,Administrative,Glasses,former,0-2,west,withoutPartitions,>5,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,3.0,2.0,103a,3,0,0,0,0,0,0
103,Female,_50-60,Administrative,Contacts,former,2-4,west,shared,2-3,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,----,_0,3.0,2.0,103c,3,0,0,0,0,0,0
103,Male,_50-60,Administrative,Glasses,never,0-2,southwest,single,,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,6.0,5.0,103a,3,0,0,0,0,0,0
103,Female,_40-49,Administrative,None,former,0-2,---,withoutPartitions,2-3,>5,False,True,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,,False,_1-5,_0,2.0,1.0,103a,3,1,0,0,0,1,1
103,Male,_50-60,Administrative,Glasses,current,0-2,west,single,1,>5,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,,False,_0,_0,1.0,1.0,103c,3,0,0,0,1,1,0
103,Male,_>60,Administrative,Glasses,never,0-2,west,shared,1,3-5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,3.0,3.0,103c,3,0,0,0,0,0,0
104,Male,_40-49,Administrative,Glasses,never,0-2,south,single,1,>5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,_0,_0,5.0,4.0,104b,3,0,0,0,0,0,0
